date,value,cpi_series
1947-01-01,21.48,All items
1947-02-01,21.62,All items
1947-03-01,22.0,All items
1947-04-01,22.0,All items
1947-05-01,21.95,All items
1947-06-01,22.08,All items
1947-07-01,22.23,All items
1947-08-01,22.4,All items
1947-09-01,22.84,All items
1947-10-01,22.91,All items
1947-11-01,23.06,All items
1947-12-01,23.41,All items
1948-01-01,23.68,All items
1948-02-01,23.67,All items
1948-03-01,23.5,All items
1948-04-01,23.82,All items
1948-05-01,24.01,All items
1948-06-01,24.15,All items
1948-07-01,24.4,All items
1948-08-01,24.43,All items
1948-09-01,24.36,All items
1948-10-01,24.31,All items
1948-11-01,24.16,All items
1948-12-01,24.05,All items
1949-01-01,24.01,All items
1949-02-01,23.91,All items
1949-03-01,23.91,All items
1949-04-01,23.92,All items
1949-05-01,23.91,All items
1949-06-01,23.92,All items
1949-07-01,23.7,All items
1949-08-01,23.7,All items
1949-09-01,23.75,All items
1949-10-01,23.67,All items
1949-11-01,23.7,All items
1949-12-01,23.61,All items
1950-01-01,23.51,All items
1950-02-01,23.61,All items
1950-03-01,23.64,All items
1950-04-01,23.65,All items
1950-05-01,23.77,All items
1950-06-01,23.88,All items
1950-07-01,24.07,All items
1950-08-01,24.2,All items
1950-09-01,24.34,All items
1950-10-01,24.5,All items
1950-11-01,24.6,All items
1950-12-01,24.98,All items
1951-01-01,25.38,All items
1951-02-01,25.83,All items
1951-03-01,25.88,All items
1951-04-01,25.92,All items
1951-05-01,25.99,All items
1951-06-01,25.93,All items
1951-07-01,25.91,All items
1951-08-01,25.86,All items
1951-09-01,26.03,All items
1951-10-01,26.16,All items
1951-11-01,26.32,All items
1951-12-01,26.47,All items
1952-01-01,26.45,All items
1952-02-01,26.41,All items
1952-03-01,26.39,All items
1952-04-01,26.46,All items
1952-05-01,26.47,All items
1952-06-01,26.53,All items
1952-07-01,26.68,All items
1952-08-01,26.69,All items
1952-09-01,26.63,All items
1952-10-01,26.69,All items
1952-11-01,26.69,All items
1952-12-01,26.71,All items
1953-01-01,26.64,All items
1953-02-01,26.59,All items
1953-03-01,26.63,All items
1953-04-01,26.69,All items
1953-05-01,26.7,All items
1953-06-01,26.77,All items
1953-07-01,26.79,All items
1953-08-01,26.85,All items
1953-09-01,26.89,All items
1953-10-01,26.95,All items
1953-11-01,26.85,All items
1953-12-01,26.87,All items
